name,number,county,counties_listed,grant_size,grant_year,governor,location,persons,locations,dates,organizations,grantors,patent_holders,coordinates,patent_acres,patent_year,patent_recipients,alternative_names,geographical_references
LA BALLONA,#434,LOS ANGELES COUNTY,Los Angeles,"1 sq.
   league",1839,Alvarado,"T 1-2S, R 15W, SBM",,Agustin; A. Machado; Machado,1873; 1839,Los Angeles Co.,Alvarado,,"T 1-2S, R 15W, SBM",,,,,
BOCA DE SANTA MONICA,#539,LOS ANGELES COUNTY,Los Angeles,,,Pro; Echeandia,"T IS, R 16W, SBM",Xavier Alvarado; Manuel Jimeno; Antonio Machado; Alvarado,,1827; 16W; 1881; 1839,Grant of UA; Los Angeles Co.; Echeandia; Francisco Marques; Ysidro,Pro; Echeandia,,"T IS, R 16W, SBM",,,,,
LA BREA,#429,LOS ANGELES COUNTY,Los Angeles,1 sq. league,1826; 1840,Alvarado,"T IS, R 14W, SBM",Nemisio Dominguez; Josefa de la; Antonio Jose Rocha; A. J. Rocha; Jose Jorge Rocha; Jose Antonio Carrillo,Jordan,1840; 1826; 1873,Josefa Alvarado; Los Angeles Co.,Alvarado,,"T IS, R 14W, SBM",,,,,
CAHUENGA,#425,LOS ANGELES COUNTY,Los Angeles,,1843,Micheltorena,T IN,Alexander Bell; D. W. Alexander; Miguel Triunfo; Jose,,1843; 1872,Providencia; Los Angeles Co.,Micheltorena,,T IN,,,,,
LA CANADA,#414,LOS ANGELES COUNTY,LOS ANGELES COUNTY,"2 sq.
  leagues",1843,Micheltorena,T 2N,"Ygnacio
  Coronel; Ben Hayes; J. R.
  Scott",Canada,1843; 1866,Los Angeles Co.,Micheltorena,,T 2N,5.832.10,1866,J,,
CANADA DE LOS NOGALES,#546,LOS ANGELES COUNTY,Los Angeles,,1844,Micheltorena,"T IS, R 13W, SBM",J. M. Aguilar; Jose M. Aguilar,,1882; 1844,Los Angeles Co.,Micheltorena,,"T IS, R 13W, SBM",,,,,
LOS CERRITOS,#467,LOS ANGELES COUNTY,Los Angeles,1 sq. league,1843,Fages; Micheltorena,"T 3-4S, R 12-13W, SBM","Los Cerritos; Figueroa; Manuel Nieto; Don
  Manuel Nieto; Manuela Nieto; Dona
  ; Juan Temple; Vicente Sanchez",,1834; 1843; 1833; 1784; 1867,"Los Nietos Rancho; Los Angeles Co.; Los Angeles
  Co.",Fages; Micheltorena,,"T 3-4S, R 12-13W, SBM",,,,,
LAS CIENAGAS,#428,LOS ANGELES COUNTY,Los Angeles,"1 sq.
  league",,Figueroa,"T IS R
  14W, SBM",Francisco Ayila; Januario Avila; Noriega,,1871; 1834; 1823,Los Angeles Co.,Figueroa,,"T IS R
  14W, SBM",,,,,
EL CONE JO,#408,LOS ANGELES COUNTY,LOS ANGELES COUNTY,,1802,de; Arrillaga; Figueroa,T 1-2N,"Alvarado; Jose Polanco; al; Altagracia; Ignacio
  Rodriguez; Noriega",Ventura; Los Angeles,1822; 1873; 1835; 1802-3; 1839,Rodriquez,de; Arrillaga; Figueroa,,T 1-2N,,,,,
LOS COYOTES,#472,LOS ANGELES COUNTY,LOS ANGELES COUNTY,,,Fages; Figueroa,T 2-3S,Andres Pico; Jose Juan Nieto; Manuel Nieto,Los Angeles; Orange Cos,1875; 1834; 1784; 1833,Los Nietos Rancho,Fages; Figueroa,,T 2-3S,,,,,
EL ENCINO,#411,LOS ANGELES COUNTY,Los Angeles,1 sq. league,1845,Pico,"T 1N, R 15-16W, SBM",Francisco,Ramon,1873; 1845,Los Angeles Co.,Pico,,"T 1N, R 15-16W, SBM",,,,,
EL ESCORPION,#409,LOS ANGELES COUNTY,Los Angeles,,1846,Pico,"T IN, R 17W, SBM","Manuel Urbano; Odon
  ; Manuel
  Urbano",,1876; 1846,Los Angeles Co.,Pico,"Manuel Urbano; Odon
  ","T IN, R 17W, SBM",1109.65,1876,"Odon
  and Manuel Urbano",,
LOS FELIZ,#426,LOS ANGELES COUNTY,Los Angeles,,1843,Micheltorena,"T IN-IS, R 13-14W,
  SBM","Maria
  Ygnacio Verdugo",,1871; 1843,Maria Ygnacio Verdugo; Los Angeles Co.,Micheltorena,,"T IN-IS, R 13-14W,
  SBM",,,,,
LA HABRA,#462,LOS ANGELES COUNTY,LOS ANGELES COUNTY,,1839,Pro,,"Manuel
  Jimeno; Andreas Pico et; Don Mariano Rolden",Los Angeles; Orange Cos,1872; 1839,,Pro,,,,,,,
HUERTA DE CUATI,#421,LOS ANGELES COUNTY,Los Angeles,,1838,Alvarado,T 18,Victoria Reid,Alvarado,1859; 1838; T 18,Los Angeles Co.,Alvarado,,T 18,,,,,
ISLAND OF SANTA CATALINA,#470,LOS ANGELES COUNTY,LOS ANGELES COUNTY,leagues,1846,Pico,T 8-10S,M. Robbins; Thos; J. M. Covarrubias,,1846; 1867,Los Angeles Co.,Pico,,T 8-10S,,,,,
LA LIEBRE,#347,LOS ANGELES COUNTY,LOS ANGELES COUNTY,"11 sq.
   leagues",1846,Pico,T 8-10N,"Jose Maria Flores; Jose Maria
   ",Los Angeles,1875; 1846,,Pico,"Jose Maria
   ",T 8-10N,48.799.59,1875,"Jose Maria
   Flores",,
MALIBU,#433,LOS ANGELES COUNTY,Los Angeles,3 sq. leagues,1804,Arrillaga,T 1-2S,Jose Bartolome Tapia; Keller,,1804; 1872,Mathew; Los Angeles Co.; Ridge Ranch,Arrillaga,Keller,T 1-2S,13.315.70,1872,"Mathew
   Keller",Topanga Malibu Sequit and as Ridge Ranch,
LA MERCED,#443,LOS ANGELES COUNTY,Los Angeles,14 sq. leagues,1844; 1846,Pico; Micheltorena,"T 2S, R 12W, SBM","Fermin Francisco de Lasuen; Eulogio de Celis; F. P. F.
   ; Monterey",,1846; 14-17W; 1797; 1873; 1844; 1872,MISION SAN FERNANDO; J. S. Alemany; Casilda; Church; Bishop; Mision; Los Angeles Co. Mission; Los Angeles Co.,Pico; Micheltorena,,"T 2S, R 12W, SBM",2363.75,1872,F,"Mision
   Vieja",
MISION SAN GABRIEL (Church property),#448,LOS ANGELES COUNTY,LOS ANGELES COUNTY,,,,T IS,Padre Junipero Serra,Monterey,1859; 1771,"Los
   Angeles Co. Mission; Bishop; J. S.
   Alemany",,,T IS,190,1859,J,,
LOS NOGALES,#459,LOS ANGELES COUNTY,LOS ANGELES COUNTY,1 sq. league,1840,Alvarado,T 1S,"Maria de J. Garcia; Jose de la Cruz
   ",Los Angeles,1882; 1840,,Alvarado,,T 1S,,,,,
LOS PALOS VERDES,#439,LOS ANGELES COUNTY,LOS ANGELES COUNTY,,,Pico; Echeandia,"T 4-5S, R 14W","Juan Sepulveda; Jose Loreto; Jose; Juan; Maria
   Teresa; Jose L.
   ; Ignacio",San Pedro; Diego,1827; 1846; 1880,Los Angeles Co.; Redondo,Pico; Echeandia,,"T 4-5S, R 14W",,,,,
PASO DE BARTOLO (Guirado),#465,LOS ANGELES COUNTY,Los Angeles,2 sq. leagues,1835,Figueroa,"T 2S, R 12W, SBM",Juan Crispin Perez,,1835; 1867,Los Angeles Co.; Bernardino Guirado,Figueroa,,"T 2S, R 12W, SBM",,,,,
PASO DE BARTOLO (McFarland and Downey),#547,LOS ANGELES COUNTY,Los Angeles,2 sq. leagues,1836,,,Alvarado; Juan Crispin Perez; Downey,McFarland; Santa Gertrudes,1836,Los Angeles Co.; Downey,,,,,,,,
PASO DE BARTOLO (Pico),#464,LOS ANGELES COUNTY,Los Angeles,2 sq. leagues,1835,Figueroa,"T 2S, R 12W, SBM",Juan Crispin Perez,Pio Pico,1835; 1881,Los Angeles Co.,Figueroa,,"T 2S, R 12W, SBM",,,,,
PASO DE BARTOLO (Sepulveda),#548,LOS ANGELES COUNTY,Los Angeles,2 sq. leagues,1835,Figueroa,"T 2S, R 11-12W",Juan Crispin Perez; Joaquin Sepulveda,,1835; 1881,Los Angeles Co.,Figueroa,,"T 2S, R 11-12W",,,,,
