name,number,county,counties_listed,grant_size,grant_year,governor,location,persons,locations,dates,organizations,grantors,patent_holders,coordinates,patent_acres,patent_year,patent_recipients,alternative_names,geographical_references
FELIZ,#167,SAN MATEO COUNTY,SAN MATEO COUNTY,,1844,Micheltorena,"T 4-
  5S",Feliz,Domingo Felix; D. Felix,1844; 1873,San Mateo Co.; Canada de los Auros,Micheltorena,,"T 4-
  5S",,,,Canada de los Auros,
LAGUNA DE LA MERCED,#163,SAN MATEO COUNTY,SAN MATEO COUNTY,,1835,,T 2-3S,"San
  Mateo; Jose Antonio Galindo; Castro",San Francisco,1835; 1872,J. de Haro et al,,,T 2-3S,,,,,
MIRAMONTES,#169,SAN MATEO COUNTY,SAN MATEO COUNTY,,,Alvarado,T 5-6S,"Vicente Miramontes; Arroyo de
  los Pilarcitos",,1882; 1830; 1841,San Mateo Co.; Candelario Miramontes,Alvarado,,T 5-6S,,,,"Arroyo de
  los Pilarcitos",
PULGAS,#148,SAN MATEO COUNTY,San Mateo,12 sq. leagues,,de; Figueroa; Borica,"T 5-6S, R 3-4W, MDM","S. M.
  Mezes; Luis Antonio; Jose Ramon; Don Jose; Luis
  Antonio; Luis
  Antonio Arguello; Soledad Ortega Arguello",,1822; 1857; 1835; 1795; 1821,San Mateo Co.,de; Figueroa; Borica,,"T 5-6S, R 3-4W, MDM",,,,Cochinetac,
PUNTA DE ANO NUEVO,#205,SAN MATEO COUNTY,San Mateo,4 sq. leagues,1842; 1839; 1833,Alvarado; Figueroa,"T 2S, R 5W","de Castro; Jose Antonio; Juan Jose Gonzales; Francisco; Jose de Jesus Bernal; Manuel J.; Antonio Pico; Juana; Leandro; Pedro; Juan B.; J. C. Bernal; Simeon Castro; Manuel; Simeon
  Castro; Jose Cornelio
   Bernal",San Francisco; SAN ANTONIO; San Mateo,1866; 1834; 1857; 1833; 1842; 1839,"Assembly; Departmental
   ; Grant of %; RINCON DE; San Mateo Co.",Alvarado; Figueroa,,"T 2S, R 5W",,,,,
SAN FRANCISQUITO (Rodrlguez),#174,SAN MATEO COUNTY,SAN MATEO COUNTY,,1839,,T 6S,"Alvarado; Marla Concepcion Valencia de
   ; Antonio Buelna",San Mateo; Santa Clara,1868; 1839,,,,T 6S,,,,,
SAN GREGORIO (Castro),#172,SAN MATEO COUNTY,San Mateo,1 sq. league,1839,Alvarado,"T 6-7S, R 4W, MDM",Castro,Antonio; Buelna; Salvador,1840; 1861; 1839,San Mateo Co.; Departmental Assembly,Alvarado,Castro,"T 6-7S, R 4W, MDM",4439.31,1861,"Salvador
   Castro",,
SAN GREGORIO (Rodrlguez),#171,SAN MATEO COUNTY,San Mateo,3 sq. leagues,1839,Alvarado,"T 6-7S, R 4-5W, MDM",Antonio Buelna; Maria Concepcion Valencia de Rodriguez,,1840; 1861; 1839,"San Mateo Co.; Assembly; Departmental
   ",Alvarado,,"T 6-7S, R 4-5W, MDM",,,,,
SAN MATEO,#149,SAN MATEO COUNTY,San Mateo,2 sq. leagues,1846,Pico,T 4S,Howard,Cayetano Arenas,1846; 1856,"San Mateo Co.; the
  Estate of Wm",Pico,,T 4S,,,,,
SAN MIGUEL (Noe),#154,SAN MATEO COUNTY,SAN MATEO COUNTY,1 sq. league,1845,Pico,T 2S,"Jesus
  Noe; J. de J.
  Noe",San Francisco; San Mateo,1857; 1845,,Pico,,T 2S,4.443.38,1857,J,,
SAN PEDRO (Sanchez),#164,SAN MATEO COUNTY,SAN MATEO COUNTY,"2
  sq. leagues",1839,Alvarado,T 4S,"Francisco
  Sanchez; Francisco Sanchez",,1870; 1839,San Mateo Co.,Alvarado,,T 4S,,,,,
LOS ALAMOS,#358,SANTA BARBARA COUNTY,SANTA BARBARA COUNTY,"11 sq.
   leagues",1839,Alvarado,T 8-9N,"J. A. de la Guerra; Jose Antonio
   de la Guerra",,1872; 1839,Santa Barbara Co.,Alvarado,,T 8-9N,,,,,
CANADA DEL CORRAL,#380,SANTA BARBARA COUNTY,SANTA BARBARA COUNTY,,1841,Pro,T 5N,"J. D. Ortega; Jose Dolores Ortega; Manuel
   Jimeno",,1866; 1841,Santa Barbara Co. Grant,Pro,,T 5N,,,,,
CANADA DE LOS PINOS,#363,SANTA BARBARA COUNTY,Santa Barbara,,1844,Micheltorena,"T 6-7N, R
   29-30W",Seminario de Santa Ynez,Monterey,1844; 1861,J. S. Alemany; Bishop; the Catholic Church; College Rancho; Santa Barbara Co. Grant,Micheltorena,,"T 6-7N, R
   29-30W",,,,"Seminario de Santa Ynez,
   and also as College Rancho",
CANADA DE SALISPUEDES,#377,SANTA BARBARA COUNTY,Santa Barbara,,1844,Micheltorena,"T 6N, R 33-34W, SBM",John Keyes,,1844; 1874,Grant of I�A sq; Santa Barbara Co.; Micheltorena,Micheltorena,,"T 6N, R 33-34W, SBM",,,,,
CASMALIA,#355,SANTA BARBARA COUNTY,Santa Barbara,"2 sq.
   leagues",1840,Alvarado,"T 9N, R 35W, SBM",,Antonio,1840; 1863,Olivera; Santa Barbara Co.,Alvarado,,"T 9N, R 35W, SBM",8841.21,1863,A,,
LAS CIENAGUITAS,#383,SANTA BARBARA COUNTY,SANTA BARBARA COUNTY,,1845,Pico,T 4N,"Anastacio
  Carrillo; A.
  Carrillo",,1845,Santa Barbara Co.,Pico,,T 4N,,,,,
CORRAL DE QU ATI (Cuati),#62,SANTA BARBARA COUNTY,SANTA BARBARA COUNTY,3 sq. leagues,1845,Pico,T 7N,Maria Antonia de la Guerra,,1876; 1845,Santa Barbara Co.,Pico,,T 7N,,,,,
LAS CRUCES,#549,SANTA BARBARA COUNTY,SANTA BARBARA COUNTY,"1 sq.
  league",1836; 1843; 1846,Pico; Chico; Micheltorena,"T 5N, R 32W, SBM","H. Hollister; Maria Antonia; Cesario Lataillade; San Luis Obispo
  Cos; Jose Maria Rojo; Albert Dibblee; Maria Antonia de la Guerra; Don Cesario Lataillade; Cesario E.; al; Thomas B. Dibblee; Miguel Cordero",Santa Barbara; San Luis,1883; 1846; 1843; 1877; 1836; 1879,Santa Barbara Co.; Territorial Diputacion,Pico; Chico; Micheltorena,,"T 5N, R 32W, SBM",,,,Spanish Rancho,
LOS DOS PUEBLOS,#381,SANTA BARBARA COUNTY,Santa Barbara,,1842,Alvarado,"T 4N, R 28-29W, SBM","N.
  A. Den; Nicolas
  A. Den",,1842; 1877; 28-29W,Santa Barbara Co.,Alvarado,,"T 4N, R 28-29W, SBM",15.534.76,1877,N,,
LA GOLETA,#382,SANTA BARBARA COUNTY,Santa Barbara,"1 sq.
  league",1846,Pico,T 4N,Daniel Hill,,1865; 1846,Santa Barbara Co.,Pico,,T 4N,,,,,
GUADALUPE,#353,SANTA BARBARA COUNTY,SANTA BARBARA COUNTY,,1840,Alvarado,,Teodoro Arellanes; San Luis Obispo; Diego Olivera,Santa Barbara; Diego,1840; 1866; 1870,Olivera; Teodoro Arellanes,Alvarado,,,,,,,
ISLAND OF SANTA CRUZ,#404,SANTA BARBARA COUNTY,Santa Barbara,11 sq. leagues,1839,Alvarado,,Andres Castillero,,1867; 1839,Santa Barbara Co.,Alvarado,,,,,,,
ISLAND OF SANTA ROSA,#405,SANTA BARBARA COUNTY,Santa Barbara,,1843,Micheltorena,,Antonio; N. Lat; Carlos Carrillo; Manuela Carrillo de Jones el al,,1871; 1843,Santa Barbara Co.; Grant of 	 ,Micheltorena,,,,,,,
JESUS MARIA,#356,SANTA BARBARA COUNTY,SANTA BARBARA COUNTY,"11 sq.
   leagues",1837,Alvarado,T 7-8N,Jose Antonio Olivera; Lewis P. Burton,Lucas Antonio,1837; 1871,Olivera; Santa Barbara Co.,Alvarado,,T 7-8N,,,,,
LA LAGUNA (Gutierrez),#360,SANTA BARBARA COUNTY,Santa Barbara,,1845,Pico,"T 7-8N, R 30-32W, SBM",Octaviano,Gutierrez,1845; 1867,Santa Barbara Co. Grant,Pico,,"T 7-8N, R 30-32W, SBM",48703.91,1867,O,,
LOMAS DE LA PURIFICACION,#366,SANTA BARBARA COUNTY,Santa Barbara,3 sq. leagues,1844,Micheltorena,"T 5-6N, R
   30W, SBM",Agustin Janssens,Santa Barbara; Micheltorena,1871; 1844,,Micheltorena,,"T 5-6N, R
   30W, SBM",,,,,
LOMPOC,#374,SANTA BARBARA COUNTY,Santa Barbara,,1837,Alvarado,T 6-7N,Antonio Camilo; Joaquin Carrillo,,1837; 1873,Santa Barbara Co.,Alvarado,,T 6-7N,,,,,
MISION LA PURISIMA (Church Property),#373,SANTA BARBARA COUNTY,SANTA BARBARA COUNTY,,,,T 7N,"Fermin Francisco de
  Lasuen",Monterey,1787; 1874,"J.
  S. Alemany; Bishop; Santa
  Barbara Co. Mission",,,T 7N,14.4,1874,J,,
MISION LA PURISIMA (Malo),#372,SANTA BARBARA COUNTY,SANTA BARBARA COUNTY,2-3 sq. leagues,1845; 1845,Pico,T 7N,"Jose Ramon Malo; Joaquin Carrillo; Fermin Francisco de Lasuen; Estevan
  Tapis; J. R. Malo; Jose Antonio Carrillo","Monterey; Santa Barbara
  Co.; Lands; MISION SANTA BARBARA",1882; 1873; 1845; 1865; 1862; 1804; 1786,"Temple; Church Property; J.
  S. Alemany; J. S. Alemany; LA MISION VIEJA DE LA PURISIMA; Bishop; MISION SANTA YNEZ; Santa Barbara Co.; Church
  Property; Santa Barbara Co. Mission",Pico,,T 7N,17.35,1862,J,,
NIPOMO,#351,SANTA BARBARA COUNTY,SANTA BARBARA COUNTY,11 sq. leagues,1837,Pico; Alvarado; Micheltorena,"T 1 IN, R 33-35W, SBM",Raymundo Carrillo; William G. Dana,Santa Barbara; San Luis Obispo,1869; 1843; 1845; 1837; 1868,Santa Barbara Co.,Pico; Alvarado; Micheltorena,,"T 1 IN, R 33-35W, SBM",,,,,
NUESTRA SENORA DEL REFUGIO,#379,SANTA BARBARA COUNTY,SANTA BARBARA COUNTY,6 sq. leagues,,Figueroa,T 5N,Borica; A. M. Ortega el al; Antonio Maria Ortega; Magdalen Cota de Ortega; Maria Ortega,Santa,1797; 1834; 1866,El Refugio; Barbara Co. Grant,Figueroa,,T 5N,,,,El Refugio,
LAS POSITAS Y LA CALERA,#385,SANTA BARBARA COUNTY,SANTA BARBARA COUNTY,,,Micheltorena,T 4N,Pico; Thomas W. Hope; Thomas M. Robbins,Micheltorena; Narisco Febregat,1843; 1846; 1870,Santa Barbara Co.,Micheltorena,,T 4N,,,,,
LOS PRIETOS Y NAJALAYEGUA,#537,SANTA BARBARA COUNTY,Santa Barbara,,1845,Pico,T 5-6N,"Jose
   Dominguez; Jose",Santa Barbara; Dominguez,1875; 1846; 1845,Departmental Assembly,Pico,"Jose
   Dominguez; Jose",T 5-6N,48.728.76,1875,"Jose
   Dominguez",,
PUNTA DE LA CONCEPCION,#375,SANTA BARBARA COUNTY,Santa Barbara,6 sq. leagues,1837,Alvarado,"T 5-6N, R 34-35W,
   SBM",A. Carrillo; Anastacio Carrillo,,1837; 1880; 1863,Santa Barbara Co.; Grant of 6,Alvarado,,"T 5-6N, R 34-35W,
   SBM",,,,,
PUNTA DE LA LAGUNA,#354,SANTA BARBARA COUNTY,SANTA BARBARA COUNTY,6 sq. leagues,1844,Micheltorena,"T 9-10N, R 34-35 W, SBM","Ortega; Luis
   Arellanes el al; Luis Arellanes; Emelio Miguel",Santa Barbara; San Luis,1844; 1873,Micheltorena,Micheltorena,"Luis
   Arellanes el al","T 9-10N, R 34-35 W, SBM",26648.42,1873,"Luis
   Arellanes el al",,
EL RINCON (Arellanes),#387,SANTA BARBARA COUNTY,SANTA BARBARA COUNTY,1 sq. league,1835,Castro,T 4N,"Ventura
  Cos",Santa Barbara,1835; 1872,Teodoro Arellanes,Castro,,T 4N,,,,,
SAN CARLOS DE JONATA,#369,SANTA BARBARA COUNTY,SANTA BARBARA COUNTY,6 sq. leagues,1845,Pico,"T 6-7N, R 31-32W, SBM","Jose Maria Covarrubias; J. M.
  Covarrubias; J. Carrillo; Joaquin Carrillo",,1872; 1845,Santa Barbara Co.; Buell Ranch,Pico,,"T 6-7N, R 31-32W, SBM",,,,,
SAN JULIAN,#378,SANTA BARBARA COUNTY,SANTA BARBARA COUNTY,"6 sq.
  leagues",1837,Alvarado,T 5-6N,Jose de la Guerra; Noriega,,1837; 1873,Santa Barbara Co.,Alvarado,,T 5-6N,,,,,
SAN MARCOS,#364,SANTA BARBARA COUNTY,Santa Barbara,"8 sq.
  leagues",1846,Pico,T 6-7N,Nicolas A. Den; Richard Den,,1869; 1846; 28-29W,Santa Barbara Co.,Pico,,T 6-7N,,,,,
SANTA BARBARA PUEBLO LANDS,#386,SANTA BARBARA COUNTY,"Santa
  Barbara",,,,,,Santa Barbara; the City of,1782; 1872,"Santa
  Barbara Co.; Common Council",,,,17826.17,1872,"Mayor
  and Common Council of the City of Santa Barbara",,
SANTA RITA (Malo),#371,SANTA BARBARA COUNTY,Santa Barbara,"3
  sq. leagues",1845,Pico,,"Jose Ramon
  Malo; Ramon Malo",,1875; 1845,Santa Barbara Co.,Pico,"Jose Ramon
  Malo",,13316.5,1875,"Jose Ramon
  Malo",,
SANTA ROSA (Cota),#370,SANTA BARBARA COUNTY,Santa Barbara,"2
  sq. leagues",,Pico; Pro,T 6-7N,"Manuel
  Jimeno; Francisco Cota; Maria Jesus Olivera de Cota",,1872; 1845; 1839,Santa Barbara Co.,Pico; Pro,,T 6-7N,,,,,
SISQUOC,#3,SANTA BARBARA COUNTY,SANTA BARBARA COUNTY,8 sq. leagues,1845,Pico,T 8-9N,James B. Ruie; Maria Antonio,,1866; 1845,Santa Barbara Co.; 32W.; Dominguez de Caballero,Pico,,T 8-9N,,,,,
SUEY,#350,SANTA BARBARA COUNTY,SANTA BARBARA COUNTY,11 sq. leagues,1837,Alvarado,T 10-1 IN,,Santa Barbara; San Luis Obispo; Ramona,1837; 1865,Ramona Carrillo de Wilson; Carrillo,Alvarado,,T 10-1 IN,,,,,
TEPUSQUET,#349,SANTA BARBARA COUNTY,Santa Barbara,"1 sq.
   league",1837,Alvarado,T 9-10N,Thomas Olivera,Antonia Maria,1837; 1838; 1871,Santa Barbara Co.,Alvarado,,T 9-10N,8.900.75,1871,"Antonia Maria
   Cota et al",,
TEQUIPIS,#365,SANTA BARBARA COUNTY,SANTA BARBARA COUNTY,2 sq. leagues,1845,Pico,,Antonio Maria Villa,,1869; 1845,Santa Barbara Co.,Pico,,,,,,,
TINAQUAIC,#359,SANTA BARBARA COUNTY,Santa Barbara,"2 sq.
   leagues",1842,Alvarado,"T 8-9N, R 31-32W",Foxen Canyon; W. D. Foxen; William,,1842; 1872,Santa Barbara Co.; Foxen Rancho,Alvarado,,"T 8-9N, R 31-32W",,,,,
TODOS SANTOS Y SAN ANTONIO,#357,SANTA BARBARA COUNTY,"Santa
   Barbara",5 sq. leagues,1841,Alvarado,,William E. P. Hartnell; W. E. P. Hartnell,Hartnell; Santa; Alvarado; Guerra,1876; 1841,,Alvarado,,,,,,,
LA ZACA,#361,SANTA BARBARA COUNTY,SANTA BARBARA COUNTY,,1838,Alvarado,"T 8N, R 31W",Antonio,Maria,1876; 1838,Santa Barbara Co.,Alvarado,,"T 8N, R 31W",4.458.10,1876,"Maria
   Antonia de la Guerra y Lataillade",,
AGUA CALIENTE (Higuera),#136,SANTA CLARA COUNTY,SANTA CLARA COUNTY,2 sq. leagues,1836,Alvarado; Gutierrez,"T 5S, R 1E-1W, MDM",Higuera; Fulgencio,Santa Clara; Fulsencio; Gutierrez; Alameda,1839; 1858; 1840; 1836,Departmental Assembly,Alvarado; Gutierrez,Higuera,"T 5S, R 1E-1W, MDM",9.563.87,1858,"Fulsencio
   Higuera",,
LAS ANIMAS,#224,SANTA CLARA COUNTY,SANTA CLARA COUNTY,"6 sq.
   leagues",1802,Figueroa,T 1 IS,Berenguaro; Hosea Romero; Castro; Refugio; La Brea; Jose Maria Sanchez; Mariano Castro; Vicente,,1835; 1875; 1802,Mariano; Santa Clara Co.,Figueroa,,T 1 IS,,,,"La Brea, or as Sitio de la Brea",
AUSAYMAS Y SAN FELIPE,#233,SANTA CLARA COUNTY,SANTA CLARA COUNTY,,1833; 1836,Figueroa,T 10-1 IS,Francisco Perez; Ausaymas; leagues; Francisco Perez Pacheco; Gutierrez,San Benito; Santa; San Felipe,1859; 1833; 1836,Pacheco,Figueroa,,T 10-1 IS,,,,Guadalaxarita,
CANADA DEL CORTE DE MADERA,#551,SANTA CLARA COUNTY,SANTA CLARA COUNTY,1 sq. league,,Figueroa,,Carpenter; Cipriano Thum; Maximo Martinez,Martinez; Maximo; San Mateo; Santa Clara,1882; 1834; 1833,Domingo Peralta,Figueroa,,,,,,,
CANADA DE LOS CAPITANCILLOS,#193,SANTA CLARA COUNTY,SANTA CLARA COUNTY,1 sq. league,1842,Alvarado,"T 8S, R IE, MDM",Justo Larios,Alvarado; Los Capitancillos; Santa Clara,1871; 1842,Guadalupe Mining Co.,Alvarado,,"T 8S, R IE, MDM",,,,,
CANADA DE PAL A,#181,SANTA CLARA COUNTY,SANTA CLARA COUNTY,"2 sq.
   leagues",1830,,T 6-7S,"Jose de Jesus Bernal; Juan Bernal; Jose Castro; Castro; Jose Antonio
   ",San Jose,1830; 1863,Bernal; Santa Clara Co.,,,T 6-7S,,,,,
CANADA DE SAN FELIPE Y LAS ANIMAS,#197,SANTA CLARA COUNTY,SANTA CLARA COUNTY,2 sq. leagues,1839,,T 8-9S,"M. Weber; Chas; Thomas
   Bowen; Pro Tern; Manuel Jimeno",,1866; 1839,Casarln; Santa Clara Co.,,Chas,T 8-9S,8.787.80,1866,Chas,,
LOS CAPITANCILLOS,#194,SANTA CLARA COUNTY,SANTA CLARA COUNTY,"1
   sq. league",1842,Alvarado,T 8-9S,Charles Fosset,Larios; Justo,1842; 1865,Santa Clara Co.,Alvarado,,T 8-9S,,,,New Almaden Mine,
LOS COCHES (Sunol),#186,SANTA CLARA COUNTY,Santa Clara,,1844,Micheltorena,,Henry M. Nagles; Antonio Sunol; Paula Sunol; Roberto,,1844; 1857,Santa Clara Co.,Micheltorena,,,,,,,
EL CORTE DE MADERA,#173,SANTA CLARA COUNTY,SANTA CLARA COUNTY,1 sq. league,,Figueroa; Micheltorena,,Maximo Martinez,Martinez; San Mateo; Canada; San Francisquito Creek; del Corte; Maximo; Santa Clara,1834; 1844; 1858; 1833,Domingo Peralta,Figueroa; Micheltorena,,,,,,,source of San Francisquito Creek
EMBARCADERO DE SANTA CLARA,#142,SANTA CLARA COUNTY,SANTA CLARA COUNTY,,1845,Pico,T 6S,,Santa,1845,Pico to Basilio,Pico,,T 6S,,,,,
LOS HUECOS,#182,SANTA CLARA COUNTY,SANTA CLARA COUNTY,"9 sq.
   leagues",1846,Pico,"T 7-8S, R
   3-4E",John Roland; Don Juan Roland; J. L. Hornsby; Don Luis Arenas,,1876; 1846,Santa Clara Co.,Pico,,"T 7-8S, R
   3-4E",,,,,
JURISTAC,#241,SANTA CLARA COUNTY,SANTA CLARA COUNTY,1 sq. league,1835,Castro,T 12S,Antonio German; Jacob L. Sargent; Faustino German,,1835; 1871,Santa Clara Co.,Castro,,T 12S,,,,,
LLANO DEL TEQUISQUITA,#230,SANTA CLARA COUNTY,SANTA CLARA COUNTY,,1835,Castro,,Guadalupe Sanchez; Vicente; Refugio; Jose Maria Sanchez,San Benito; Santa; Candalaria; Gregorio,1835; 1871,,Castro,,,,,,,
MILPITAS (Alviso),#138,SANTA CLARA COUNTY,Santa Clara,"1 sq.
   league",,Pico; Castro,"T 6S, R IE, MDM",Nicolas Berreyesa; Pedro Chaboya; Arce; Tomas,Monterey; Santa,1777; 1846; 1834; 1870; 1858; 1836,Santa Clara Co. Mission; J. S. Alemany; Lot Near; Church; Santa Clara Co.; Bishop; Jose Maria Alviso,Pico; Castro,,"T 6S, R IE, MDM",,,,,(Arce)
OJO DE AGUA DE LA COCIIE,#199,SANTA CLARA COUNTY,Santa Clara,2 sq. leagues,1835,Figueroa,T 9S,Martin J. C. Murphy,,1835; 1860,"Santa Clara Co.; Territorial
   Diputacion",Figueroa,,T 9S,,,,,
PALA,#180,SANTA CLARA COUNTY,Santa Clara,1 sq. league,,Castro,T 6-7S,Jose Higuera; Ellen E. White el al.; Chas,,1835; 1866,Santa Clara Co.,Castro,,T 6-7S,,,,,
PASTORIA DE LAS BORREGAS (Castro),#144-A,SANTA CLARA COUNTY,Santa Clara,2 sq. leagues,1842,,T 6S,Mariano Castro; Alvarado,,1842; 1881,Francisco Estrada; Santa Clara Co.,,,T 6S,,,,,
PASTORIA DE LAS BORREGAS (Murphy),#144-B,SANTA CLARA COUNTY,Santa Clara,2 sq. leagues,1842,,T 6S,Alvarado; Martin Murphy,,1842; 1865,Francisco Estrada; Santa Clara Co.,,,T 6S,,,,,
LA POLKA,#227,SANTA CLARA COUNTY,Santa Clara,1 sq. league,1833,Figueroa,"T 10S, R 4E, MDM",Maria Isabel; Martin J. C. Murphy; Ortega,,1860; 1833,Santa Clara Co.,Figueroa,,"T 10S, R 4E, MDM",,,,,
POSOLMI,#145,SANTA CLARA COUNTY,Santa Clara,,,Micheltorena,,"Lopez Inigo; Robert
   Walkinshaw; Pozito; Posolomi; Thomas Campbell",,1844; 1881,Santa Clara Co.,Micheltorena,"Lopez Inigo; Robert
   Walkinshaw; Thomas Campbell",,1695.90,1881,"Robert
   Walkinshaw, Thomas Campbell, and Lopez Inigo","Posolomi, and Pozito
   de las Animas",
POTRERO DE SANTA CLARA,#178,SANTA CLARA COUNTY,SANTA CLARA COUNTY,,1844,,T 7S,Pedro Chaboya; Chabolla; James Alexander Forbes; Robert F. Stockton; Micheltorena,San Jose; Santa Clara,1844; 1861; 1876,Stockton Ranch; Santa Clara Co.; PUEBLO LOT NO,,,T 7S,,,,Stockton Ranch,San Jose)
LA PURISIMA CONCEPCION,#175,SANTA CLARA COUNTY,SANTA CLARA COUNTY,1 sq. league,1840,Alvarado,T 6S,Jose Gorgonio; Jose Ramon,Gregorio,1871; 1840,"Juana Briones de
   Miranda; Santa Clara Co.",Alvarado,,T 6S,,,,,
QUITO,#187,SANTA CLARA COUNTY,SANTA CLARA COUNTY,,,Alvarado,"T 7S, R 1W",Jose Z. Fernandez; Manuel Loreto; Manuel Alviso; Francisco Maximo; Jose; Jose Fernandez; Noriega,Dionesa,1866; 1841,Tito Rancho; Petra Enriques de Fernandez; Santa Clara Co.,Alvarado,,"T 7S, R 1W",,,,Tito Rancho,
REFUGIO DE LA LAGUNA SECA,#196,SANTA CLARA COUNTY,Santa Clara,4 sq. leagues,1834,Figueroa,"T 8-9W, R
   2-3E, MDM",La Laguna; Liberia C. Bull el al.; Juan Alvirez,Santa Clara,1834; 1865,Fisher,Figueroa,,"T 8-9W, R
   2-3E, MDM",,,,,
RINCON DE LOS ESTEROS (Alviso),#141,SANTA CLARA COUNTY,Santa Clara,,1838,Alvarado,"T 6S, R 1W, MDM",Rafael Alviso el al; Ygnacio Alviso,Santa Clara,1838; 1872,,Alvarado,,"T 6S, R 1W, MDM",,,,,
RINCON DE LOS ESTEROS (Berreyesa),#140,SANTA CLARA COUNTY,SANTA CLARA COUNTY,,1838,Alvarado,,G. Berreyesa; Francisco Berreyesa,,1838,"Santa
  Clara Co.",Alvarado,,,,,,,
RINCON DE LOS ESTEROS (White),#139,SANTA CLARA COUNTY,Santa Clara,,1838,Alvarado,T 6S,Ellen E. White,"Santa Clara
  Co.",1862; 1838,,Alvarado,,T 6S,,,,,
RINCON DE SAN FRANCISQUITO,#146,SANTA CLARA COUNTY,Santa Clara,,1841,Alvarado,T 6S,"Jose
  Pena; Teodoro
  ; Secundino Robles","Santa Clara
  Co.; Santa Rita",1868; 1841,,Alvarado,"Teodoro
  ; Secundino Robles",T 6S,8.418.21,1868,"Teodoro
  and Secundino Robles",,
"RINCONADA DEL ARROYO DE SAN
  FRANCISQUITO",#147,SANTA CLARA COUNTY,SANTA CLARA COUNTY,,1835,Alvarado; Figueroa,,"Maria
  Antonio Mesa; Rafael Soto",,1835; 1872; 1841,Maria Antonio Mesa; Santa Clara Co.,Alvarado; Figueroa,,,,,,,
RINCONADA DE LOS GATOS,#192,SANTA CLARA COUNTY,Santa Clara,,1840,Alvarado,T 8S,Jose Hernandez; Sebastian Peralta,,1860; 1840,Santa Clara Co.,Alvarado,,T 8S,,,,,
SALSIPUEDES,#223,SANTA CLARA COUNTY,SANTA CLARA COUNTY,,,Alvarado; Figueroa,"T 10-1 IS, R 2-3W, MDM","Manuel Jimeno
  ; Grant
  ; James Blair",Santa Cruz; Santa Clara,1834; 1861; 1840,,Alvarado; Figueroa,,"T 10-1 IS, R 2-3W, MDM",,,,,
SAN ANTONIO (Dana),#176-A,SANTA CLARA COUNTY,Santa Clara,1 sq. league,1839,Alvarado,,A. Dana; Jas; Henry F. Dana,Juan,South half; 1840; 1857; 1839,"Assembly; Departmental
   ; Santa Clara Co.",Alvarado,,,,,,,
SAN ANTONIO (Mesa),#176,SANTA CLARA COUNTY,SANTA CLARA COUNTY,1 sq. league,1839,Alvarado,T 6-7S,Encarnacion Mesa,Juan,"1866; North
   half; 1839",Santa Clara Co.,Alvarado,,T 6-7S,,,,,
SAN FRANCISCO DE LAS LLAGAS,#226,SANTA CLARA COUNTY,SANTA CLARA COUNTY,4 sq. leagues,1834,Figueroa,T 9-1 OS,James Murphy; Don Carlos Castro,Santa Clara,1834; 1868,Martin; Murphy,Figueroa,,T 9-1 OS,,,,,
SAN FRANCISQUITO (Rodriguez),#174,SANTA CLARA COUNTY,SANTA CLARA COUNTY,,1839,,T 6S,"Alvarado; Maria Concepcion Valencia de
   ; Antonio Buelna",San Mateo; Santa Clara,1868; 1839,Rodriquez,,,T 6S,,,,,
SAN JOSE PUEBLO LANDS (Four Parts),#179,SANTA CLARA COUNTY,"Santa
   Clara",,,,"T 6-9S, R 1-3E",,Santa,1777; 1884,"Common
   Council of the City of San Jose",,,"T 6-9S, R 1-3E",,,,,
SAN JUAN BAUTISTA,#185,SANTA CLARA COUNTY,Santa Clara,"2
   sq. leagues",1844,Micheltorena,"T 7-8S, R IE, MDM",,,1865; 1844,Santa Clara Co.; Agustin Narvaez,Micheltorena,,"T 7-8S, R IE, MDM",,,,,
SAN LUIS GONZAGA,#234,SANTA CLARA COUNTY,SANTA CLARA COUNTY,11 sq. leagues,1845,Figueroa; Micheltorena,T 1 OS,Juan Perez; Francisco Garcia; Jose Ramon Estrada; James Enright; Jose Maria Mojia; Juan Perez Pacheco,Santa Clara; SANTA CLARA; Micheltorena; Merced,1871; 1866; 1834; 1843; 1845,Pacheco,Figueroa; Micheltorena,,T 1 OS,,,,the Enright Tract,(Enright)
SANTA TERESA,#184,SANTA CLARA COUNTY,Santa Clara,"1 sq.
   league",1834,Figueroa,"T 8S, R 1-2E",Agustin Bernal; Joaquin Bernal,,1834; 1867,Santa Clara Co.,Figueroa,Agustin Bernal,"T 8S, R 1-2E",647.13,1867,Agustin Bernal,,
SAN VICENTE (Berreyesa),#195,SANTA CLARA COUNTY,SANTA CLARA COUNTY,,1842,Alvarado,"T 8-9S, R 1-2E, MDM","Maria Z. Bernal Berreyesa; Jose R.
   Berreyesa",,1842; 1868,Santa Clara Co. Grant,Alvarado,,"T 8-9S, R 1-2E, MDM",,,,,
SAN YSIDRO (Gilroy),#228,SANTA CLARA COUNTY,Santa Clara,"2
   sq. leagues",,Arrillaga; Figueroa,"T 10S, R 4E, MDM","Quintin Ortega; Maria
   Isabel; Maria Clara; Ignacio Ortega; Maria Clara Ortega; Julius Martin; John Gilroy",,1810; 1833; 1867,Santa Clara Co.,Arrillaga; Figueroa,John Gilroy; Julius Martin,"T 10S, R 4E, MDM",4460.67,1867,"John Gilroy
   and Julius Martin",,
